Source Name	Comment [ENA_SAMPLE]	Comment [BIOSAMPLE]	Comment [Sample_description]	Characteristics [organism]	Characteristics [individual]	Characteristics [organism part]	Characteristics [cell type]	Characteristics [phenotype]	Characteristics [disease]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment [single cell isolation]	Comment [input molecule]	Comment [library construction]	Comment [end bias]	Comment [primer]	Comment [LIBRARY_STRAND]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment [LIBRARY_SELECTION]	Comment [INSTRUMENT_MODEL]	Assay Name	Comment [technical replicate group]	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Protocol REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue [single cell identifier]	FactorValue [disease]	FactorValue [stimulus]
GSM3038457 1	SRS3036265	SAMN08687978	28_2_C58	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038457 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038457	not applicable	SRX3783005	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826825	SRR6826825	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6826825/SRR6826825.fastq.gz	Donor2_TCR_cell24	HIV infection	T cell receptor-mediated stimulation
GSM3038456 1	SRS3036262	SAMN08687979	28_1_C72	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038456 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038456	not applicable	SRX3783004	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826824	SRR6826824	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6826824/SRR6826824.fastq.gz	Donor2_TCR_cell23	HIV infection	T cell receptor-mediated stimulation
GSM3038455 1	SRS3036260	SAMN08687980	28_1_C71	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038455 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038455	not applicable	SRX3783003	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826823	SRR6826823	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6826823/SRR6826823.fastq.gz	Donor2_TCR_cell22	HIV infection	T cell receptor-mediated stimulation
GSM3038454 1	SRS3036261	SAMN08687981	28_1_C70	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038454 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038454	not applicable	SRX3783002	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826822	SRR6826822	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6826822/SRR6826822.fastq.gz	Donor2_TCR_cell21	HIV infection	T cell receptor-mediated stimulation
GSM3038453 1	SRS3036259	SAMN08687982	28_1_C69	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038453 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038453	not applicable	SRX3783001	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826821	SRR6826821	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6826821/SRR6826821.fastq.gz	Donor2_TCR_cell20	HIV infection	T cell receptor-mediated stimulation
GSM3038452 1	SRS3036257	SAMN08687956	28_1_C68	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038452 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038452	not applicable	SRX3783000	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826820	SRR6826820	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6826820/SRR6826820.fastq.gz	Donor2_TCR_cell19	HIV infection	T cell receptor-mediated stimulation
GSM3038451 1	SRS3036258	SAMN08687957	28_1_C67	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038451 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038451	not applicable	SRX3782999	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826819	SRR6826819	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6826819/SRR6826819.fastq.gz	Donor2_TCR_cell18	HIV infection	T cell receptor-mediated stimulation
GSM3038450 1	SRS3036256	SAMN08687958	28_1_C60	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038450 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038450	not applicable	SRX3782998	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826818	SRR6826818	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6826818/SRR6826818.fastq.gz	Donor2_TCR_cell17	HIV infection	T cell receptor-mediated stimulation
GSM3038449 1	SRS3036255	SAMN08687960	28_1_C59	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038449 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038449	not applicable	SRX3782997	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826817	SRR6826817	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6826817/SRR6826817.fastq.gz	Donor2_TCR_cell16	HIV infection	T cell receptor-mediated stimulation
GSM3038448 1	SRS3036253	SAMN08687961	28_1_C57	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038448 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038448	not applicable	SRX3782996	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826816	SRR6826816	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6826816/SRR6826816.fastq.gz	Donor2_TCR_cell15	HIV infection	T cell receptor-mediated stimulation
