"Assay "	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[genotype]"	"Sample Characteristic Ontology Term[genotype]"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[phenotype]"	"Sample Characteristic Ontology Term[phenotype]"	"Factor Value[phenotype]"	"Factor Value Ontology Term[phenotype]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"SAMEA4650553"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077864"	
"SAMEA4650554"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077865"	
"SAMEA4650555"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077866"	
"SAMEA4650556"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077867"	
"SAMEA4650557"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077868"	
"SAMEA4650558"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077869"	
"SAMEA4650559"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077870"	
"SAMEA4650560"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077871"	
"SAMEA4650561"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077872"	
"SAMEA4650562"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077873"	
